questionId,question,answer,
q1,What is a function in Python?,A function is a block of reusable code that performs a specific task.,
q2,How do you define a function in Python?,Using the def keyword followed by the function name and parentheses.,
q3,What is the difference between a function and a method?,A method is associated with an object whereas a function is not., 
q4,How do you call a function in Python?,By writing the function name followed by parentheses e.g.  my_function().,
q5,What are *args and **kwargs in Python functions?,*args allows variable number of positional arguments  **kwargs allows variable number of keyword arguments.,
q6,Can a Python function return multiple values?,Yes  it can return multiple values as a tuple.,
q7,What is a lambda function?,A small anonymous function defined using the lambda keyword.,
q8,What is the scope of a variable inside a function?,Variables defined inside a function are local to that function.,
q9,How do you document a Python function?,Using a docstring (triple quotes) right below the function definition.,
q10,What is recursion in Python?,When a function calls itself to solve a problem.,
